List of places,
Marine Parade,Completed
Geylang,Completed
Bedok,Completed
Serangoon,Completed
Bukit Merah,
Queenstown,
Outram,
Rochor,
Kallang,
Orchard,
Tanglin,
Netwon,
Novena,
Bukit Timah,
Toa Payoh,
Tampines,
Hougang,
Paya Lebar,
Changi,
Pasir Ris,
Punggol,
Sengkang,
Seletar,
Ang Mo Kio,
Bishan,
Yishun,
Mandai,
Sembawang,
Woodlands,
Choa Chu Kang,
Bukit Panjang,
Bukit Batok,
Jurong East,
Jurong West,
Boon Lay,
Pioneer,
Clementi,
Telok Blangah,
Pulau Ubin,
