List of places,Latitude,Longitude,Status
Marine Parade,1.3019687,103.8970821,Completed
Geylang,1.3200544,103.8917746,Completed
Bedok,1.3236038,103.9273405,Completed
Serangoon,1.3553567,103.8678708,Completed
Bukit Merah,1.2819046,103.8239182,
Queenstown,1.2941664,103.7861271,
Outram,1.284883,103.843899,
Rochor,1.305135,103.850913,
Kallang,1.3100334,103.8651056,
Orchard,1.3015829,103.8382705,
Tanglin,1.306932,103.8188845,
Netwon,1.307552,103.840377,
Novena,1.3208572,103.8424319,
Bukit Timah,1.3548163,103.7762985,
Toa Payoh,1.3343035,103.8563265,
Tampines,1.3495907,103.9567879,
Hougang,1.3612182,103.8862529,
Paya Lebar,1.318089,103.892982,
Changi,1.34501,103.983209,
Pasir Ris,1.3730057,103.9492453,
Punggol,1.3984457,103.9072046,
Sengkang,1.3868121,103.8914433,
Seletar,1.405163,103.8663418,
Ang Mo Kio,1.369115,103.845434,
Bishan,1.351236,103.848456,
Yishun,1.430368,103.8353628,
Mandai,1.41192,103.786197,
Sembawang,1.449111,103.818495,
Woodlands,1.4381922,103.7889597,
Choa Chu Kang,1.3839803,103.7469611,
Bukit Panjang,1.3774142,103.7719498,
Bukit Batok,1.3590288,103.7636796,
Jurong East,1.3068878,103.7333142,
Jurong West,1.3403898,103.7089875,
Boon Lay,1.3385674,103.7059549,
Pioneer,1.335878656,103.6916606,
Clementi,1.3161811,103.7649377,
Telok Blangah,1.276637,103.811466,
