1,2,3,4,5,6,7,8,9,10
crab,coffee,pizza,beer,park,noodle,food,food,food,hotel
food,food,prata,chicken,punggol,mee,shop,service,mall,room
nasi,cake,food,wing,walk,rice,mall,chicken,shop,view
chicken,service,teh,meatball,food,food,shopping,ice,level,service
mee,tea,service,drink,fish,chicken,burger,cream,shopping,pool
fish,chicken,chicken,food,time,soup,time,rice,tea,food
seafood,staff,kut,time,lot,fish,lot,pork,chicken,lounge
lemak,egg,bak,burger,island,prawn,service,price,time,breakfast
chilli,latte,restaurant,ikea,white,kway,renovation,fish,train,staff
prawn,drink,soup,service,soup,cake,live,soup,gym,wifi
rice,chocolate,sushi,bar,along,taste,airport,taste,station,time
chili,breakfast,subway,view,view,pork,concert,time,service,area
service,milk,outlet,still,run,carrot,restaurant,staff,take,city
egg,taste,price,ale,water,long,art,waffle,lot,park
bbq,curry,italian,gym,around,laksa,world,beef,long,take
satay,thai,crispy,fry,stadium,kee,night,dish,view,bay
taste,time,curry,night,service,shop,level,steak,parking,restaurant
wing,day,cheese,swedish,take,hokkien,ride,long,restaurant,floor
